RFP % Present,RFP Last Status,RFP Last Internal Rating,RFP Last TRACK Score,RFP Tech Ability,RFP Learnability,Last Graduation,RFP Communicability,RFP Avg TRACK Score,TechCategory,Year,Practice Head
77.0,1,2,2.5,0.94,1.14,4,0.67,2.75,1,2020.0,4
75.0,0,2,3.56,1.25,1.56,3,0.85,3.65,2,2020.0,0
91.0,0,2,3.92,1.32,1.42,5,0.79,3.53,0,2020.0,4
82.0,1,2,3.43,1.13,1.32,4,0.69,3.15,1,2020.0,4
100.0,0,3,4.4,1.58,1.66,4,0.85,4.08,2,2019.0,4
71.0,1,2,3.34,1.36,1.53,4,0.73,3.62,3,2019.0,1
69.0,0,3,3.34,1.48,1.57,4,0.77,3.83,3,2019.0,1
66.0,0,3,3.76,1.43,1.56,4,0.83,3.81,2,2016.0,2
100.0,2,3,4.28,1.54,1.65,4,0.84,4.03,2,2015.0,4
77.0,1,2,3.58,1.16,1.58,3,0.83,3.57,3,2020.0,4
57.0,0,3,3.34,1.5,1.58,4,0.76,3.83,0,2020.0,1
77.0,0,3,4.2,1.35,1.7,3,0.85,3.9,2,2020.0,4
53.0,0,2,3.76,1.45,1.46,4,0.85,3.76,2,2020.0,1
72.0,0,2,3.87,1.18,1.68,3,0.86,3.72,2,2020.0,4
66.0,0,3,3.34,1.37,1.61,3,0.87,3.85,2,2019.0,1
66.0,1,4,2.41,1.07,1.21,3,0.71,2.98,3,2016.0,2
75.0,0,3,3.74,1.47,1.63,4,0.81,3.9,2,2019.0,2
73.0,2,3,3.34,1.6,1.7,4,0.88,4.18,0,2017.0,1
100.0,0,3,3.72,1.4,1.51,4,0.77,3.67,1,2016.0,4
70.0,0,2,3.56,1.35,1.58,3,0.8,3.73,3,2020.0,2
63.0,0,3,3.34,1.48,1.52,3,0.77,3.76,2,2020.0,0
75.0,0,3,3.92,1.46,1.64,3,0.84,3.93,2,2020.0,2
75.0,0,3,3.79,1.57,1.48,4,0.78,3.82,3,2020.0,2
67.0,0,2,4.0,1.44,1.44,3,0.72,3.61,0,2019.0,2
100.0,1,2,3.4,0.86,1.4,4,0.86,2.75,0,2019.0,4
96.0,0,3,3.74,1.47,1.56,6,0.75,3.78,2,2019.0,0
95.0,0,2,3.71,1.43,1.52,4,0.72,3.67,3,2018.0,2
98.0,1,2,3.63,1.13,1.58,0,0.85,3.57,0,2020.0,4
84.0,0,3,3.8,1.5,1.58,3,0.91,3.99,2,2021.0,0
96.0,0,3,3.42,1.38,1.48,3,0.69,3.55,3,2018.0,0
96.0,0,3,4.03,1.49,1.63,4,0.81,3.93,2,2019.0,1
66.0,0,3,3.88,1.54,1.64,3,0.84,4.02,2,2021.0,2
100.0,0,3,4.1,1.56,1.65,5,0.82,4.02,2,2019.0,1
87.0,1,2,3.42,1.28,1.33,4,0.76,3.37,1,2019.0,0
59.0,0,2,3.49,1.35,1.35,4,0.7,3.4,1,2019.0,1
84.0,0,2,3.34,1.4,1.55,4,0.76,3.71,2,2019.0,1
95.0,2,3,4.03,1.46,1.73,0,0.94,4.13,2,2016.0,0
91.0,0,2,3.61,1.42,1.41,5,0.76,3.59,0,2019.0,2
100.0,1,2,3.27,1.29,1.35,4,0.71,3.35,1,2020.0,0
76.0,2,3,3.34,1.54,1.64,3,0.85,4.02,2,2020.0,0
88.0,0,2,3.34,1.4,1.45,5,0.78,3.64,0,2020.0,1
82.0,0,2,3.66,1.27,1.54,5,0.89,3.7,2,2020.0,1
77.0,0,3,4.01,1.41,1.77,3,0.95,4.13,2,2019.0,4
77.0,0,2,3.34,1.28,1.55,4,0.8,3.63,2,2020.0,0
